fecha;hora;estacion;pasajeros
2014-04-16;12:00;Primera Junta;754
2014-04-16;12:00;Congreso;1068
2014-04-16;12:00;Peru;732
2014-04-16;12:00;San Pedrito;1217
2014-04-16;12:00;Lima;505
2014-04-16;12:00;Plaza de Mayo;1183
2014-04-16;12:00;Castro Barros;615
2014-04-16;12:00;Alberti;324
2014-04-16;12:00;Plaza Miserere;1291
2014-04-16;12:00;Pasco;333
2014-04-16;13:00;Loria;493
2014-04-16;13:00;Piedras;614
2014-04-16;13:00;Rio de Janeiro;623
2014-04-16;13:00;Pasco;322
2014-04-16;13:00;Acoyte;936
2014-04-16;13:00;Carabobo;641
2014-04-16;13:00;Saenz Peña;795
2014-04-16;13:00;Alberti;297
2014-04-16;13:00;San Pedrito;1317
2014-04-16;13:00;Castro Barros;596
2014-04-16;13:00;Lima;627
2014-04-16;13:00;Plaza de Mayo;1478
2014-04-16;13:00;Peru;962
2014-04-16;13:00;Plaza Miserere;1166
2014-04-16;13:00;Flores;536
2014-04-16;13:00;Puan;465
2014-04-16;13:00;Primera Junta;771
2014-04-16;13:00;Congreso;1095
2014-04-16;14:00;Plaza Miserere;1045
2014-04-16;14:00;Castro Barros;551
2014-04-16;14:00;Acoyte;806
2014-04-16;14:00;Primera Junta;577
2014-04-16;14:00;Plaza de Mayo;1657
2014-04-16;14:00;Pasco;308
2014-04-16;14:00;Peru;1169
2014-04-16;14:00;Congreso;1042
2014-04-16;14:00;Lima;594
2014-04-16;14:00;Carabobo;517
2014-04-16;14:00;Saenz Peña;799
2014-04-16;14:00;San Pedrito;995
2014-04-16;14:00;Alberti;317
2014-04-16;14:00;Puan;282
2014-04-16;14:00;Flores;515
2014-04-16;14:00;Piedras;648
2014-04-16;14:00;Rio de Janeiro;535
2014-04-16;14:00;Loria;458
2014-04-16;15:00;Flores;422
2014-04-16;15:00;Acoyte;672
2014-04-16;15:00;Saenz Peña;865
2014-04-16;15:00;Alberti;372
2014-04-16;15:00;San Pedrito;835
2014-04-16;15:00;Lima;673
2014-04-16;15:00;Puan;308
2014-04-16;15:00;Pasco;278
2014-04-16;15:00;Peru;1364
2014-04-16;15:00;Rio de Janeiro;443
2014-04-16;15:00;Piedras;766
2014-04-16;15:00;Congreso;1181
2014-04-16;15:00;Plaza de Mayo;1840
2014-04-16;15:00;Primera Junta;646
2014-04-16;15:00;Carabobo;463
2014-04-16;15:00;Castro Barros;504
2014-04-16;15:00;Plaza Miserere;920
2014-04-16;15:00;Loria;418
2014-04-16;16:00;Loria;434
2014-04-16;16:00;Rio de Janeiro;536
2014-04-16;16:00;Congreso;1128
2014-04-16;16:00;Flores;449
2014-04-16;16:00;Acoyte;642
2014-04-16;16:00;Saenz Peña;908
2014-04-16;16:00;Piedras;845
2014-04-16;16:00;Puan;316
2014-04-16;16:00;San Pedrito;941
2014-04-16;16:00;Lima;686
2014-04-16;16:00;Carabobo;555
2014-04-16;16:00;Alberti;370
2014-04-16;16:00;Peru;1419
2014-04-16;16:00;Castro Barros;580
2014-04-16;16:00;Plaza Miserere;867
2014-04-16;16:00;Pasco;245
2014-04-16;16:00;Primera Junta;474
2014-04-16;16:00;Plaza de Mayo;2267
2014-04-16;17:00;Alberti;364
2014-04-16;17:00;Congreso;1186
2014-04-16;17:00;Plaza de Mayo;3314
2014-04-16;17:00;Primera Junta;657
2014-04-16;17:00;Rio de Janeiro;627
2014-04-16;17:00;Peru;2000
2014-04-16;17:00;Pasco;278
2014-04-16;17:00;Carabobo;587
2014-04-16;17:00;Acoyte;763
2014-04-16;17:00;Puan;417
2014-04-16;17:00;Castro Barros;614
2014-04-16;17:00;Plaza Miserere;958
2014-04-16;17:00;San Pedrito;1225
2014-04-16;17:00;Lima;837
2014-04-16;17:00;Flores;525
2014-04-16;17:00;Loria;560
2014-04-16;17:00;Saenz Peña;941
2014-04-16;17:00;Piedras;1153
2014-04-16;18:00;Saenz Peña;855
2014-04-16;18:00;San Pedrito;980
2014-04-16;18:00;Rio de Janeiro;607
2014-04-16;18:00;Acoyte;729
2014-04-16;18:00;Lima;961
2014-04-16;18:00;Primera Junta;593
2014-04-16;18:00;Pasco;257
2014-04-16;18:00;Castro Barros;599
2014-04-16;18:00;Alberti;327
2014-04-16;18:00;Puan;341
2014-04-16;18:00;Loria;512
2014-04-16;18:00;Congreso;1137
2014-04-16;18:00;Carabobo;508
2014-04-16;18:00;Flores;424
2014-04-16;18:00;Plaza Miserere;1147
2014-04-16;18:00;Piedras;1128
2014-04-16;18:00;Peru;2136
2014-04-16;18:00;Plaza de Mayo;3316
2014-04-16;19:00;Pasco;157
2014-04-16;19:00;Acoyte;575
2014-04-16;19:00;Saenz Peña;704
2014-04-16;19:00;Lima;510
